,m/z,theoretical_mz,ppm,precursor_type,name,formula,exact_mass,cas,biocyc,chebi,chembl,drugbank,hmdb,kegg,knapsack,lipidbank,lipidmaps,metabolights,pubchem,wikipedia
MSI03992,779.1659,779.1671,2,[M+H-H2O]+,(-)-Epigallocatechin 3-gallate 7-glucoside 4""-glucuronide,C34H36O22,796.16982277,,,CHEBI:176322,,,HMDB0041730,,,,,,102025303,
MSI03994,779.3428,779.3438,1,[M+H]+,CID 20545824,C39H50N6O9S,778.33599837,,,,,,,,,,,,20545824,
MSI03996,781.6358,781.6346,2,[M+H]+,"1-dodecanoyl-2-tridecanoyl-3-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycerol",C50H84O6,780.62679039,,,,,,,,,,LMGL03013207,,56936997,
MSI04000,783.2142,783.2136,1,[M]+,"[(3R,6S)-6-[5-[(2S,4S,5S)-6-(acetyloxymethyl)-3,4,5-trihydroxyoxan-2-yl]oxy-7-hydroxy-2-(4-hydroxyphenyl)chromenylium-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl (E)-3-(4-hydroxyphenyl)prop-2-enoate",C38H39O18+,783.21363939,,,,,,,,,,LMPK12010446,,44257044,
MSI04001,783.4249,783.4296,6,[M+H]+,Phoda-PI,C37H67O15P,782.42175842,,,CHEBI:187016,,,,,,,LMGP20050001,,134812418,
MSI04002,784.8475,784.8464,1,[M+NH4]+,"Manganese(2+);2-sulfanylidene-2-[(2-sulfido-1,3,2lambda5-benzodioxaphosphol-2-ylidene)amino]-1,3,2lambda5-benzodioxaphosphole",C24H16MnN2O8P4S4,766.812041,,,,,,,,,,,,25268573,
MSI04003,789.2059,789.2089,4,[M]+,Delphinidin 3-sophoroside 5-glucoside,C33H41O22+,789.20894793,36547-37-2,,,,,HMDB0039118,,,,,,74977047,
MSI04004,789.9889,789.9940,6,[M]+,"P1,P4-Bis(5'-uridyl) tetraphosphate",C18H26N4O23P4,789.9938,,,,,,,C06198,,,,,,
MSI04005,791.6364,791.6339,3,[M+K]+,"PA(20:0/20:4(5Z,8Z,11Z,14Z))",C43H77O8P,752.53560641,,,CHEBI:77241,,,HMDB0115078,,,,LMGP10010861,,52929453,
MSI04006,792.7495,792.7493,0,[M+H-H2O]+,"1,3-dipentadecanoyl-2-(9Z-octadecenoyl)-glycerol (d5)",C51H96O6,809.75207451,,,,,,,,,,LMGL03010010,,5283478,
MSI04007,793.4446,793.4473,3,[M]+,Onnamide A,C39H63N5O12,793.44732246,115204-07-4,,CHEBI:80086,,,,,,,,,23426006,
MSI04009,795.1126,795.1100,3,[M]+,Formyl-CoA,C22H36N7O17P3S,795.1101,,,,,,,C00798,,,,,,
MSI04010,795.1357,795.1339,2,[M-H2O+NH4]+,formyl-CoA,C22H36N7O17P3S,795.11012487,13131-49-2,,CHEBI:15522,,,,C00798,,,,,3082032,
MSI04011,797.2491,797.2370,15,[M+Na]+,"7,8-Dihydromethanopterin",C30H43N6O16P,774.2473,,,,,,,C05927,,,,,,
MSI04013,798.5471,798.5496,3,[M+H]+,N-(2-hydroxyhexadecanoyl)-sphinganine-1-phospho-(1'-myo-inositol),C40H80NO12P,797.54181398,,,,,,,,,,LMSP03030030,,70699102,
MSI04014,799.1626,799.1651,3,[M]+,Azanide;4-azanidylbutylazanide;(1-oxoniocarbonylcyclobutanecarbonyl)oxidanium;platinum(4+),C16H34N4O8Pt2+8,799.165142,,,,,,,,,,,,438515,
MSI04015,800.3294,800.3370,10,[M+NH4]+,Ansamitocinoside P-3,C37H51ClN2O14,782.3029,,,,,,,C20139,,,,,,
MSI04016,801.1337,801.1335,0,[M]+,"(2,5-dioxopyrrolidin-1-yl) 6-[(2Z)-6-chloro-2-[(E)-3-[6-chloro-4-[6-(2,5-dioxopyrrolidin-1-yl)oxy-6-oxohexyl]-[1,3]thiazolo[4,5-b]pyridin-4-ium-2-yl]prop-2-enylidene]-[1,3]thiazolo[4,5-b]pyridin-4-yl]hexanoate",C35H35Cl2N6O8S2+,801.1334848,,,,,,,,,,,,10147674,
MSI04017,801.3323,801.3363,5,[M+Na]+,Bis(glutathionyl)spermine disulfide,C30H54N10O10S2,778.3465803,,,CHEBI:80570,,,,,,,,,24892795,
MSI04019,806.1273,806.1261,1,[M-H2O+NH4]+,"[(2R,3S,4R,5R)-2-[[[[(3R)-4-[[3-(2-acetylsulfanylethylamino)-3-oxopropyl]amino]-3-hydroxy-2,2-dimethyl-4-oxobutoxy]-oxidophosphoryl]oxy-oxidophosphoryl]oxymethyl]-5-(6-aminopurin-9-yl)-4-hydroxyoxolan-3-yl] hydrogen phosphate",C23H35N7O17P3S-3,806.10229984,,,,,,,,,,,,25113635,Acetyl-CoA
MSI04020,811.1193,811.1205,2,[M]+,luteolin 7-O-[(beta-D-glucosyluronate)-(1->2)-(beta-D-glucosiduronate)] 4'-O-beta-D-glucosiduronate,C33H31O24-3,811.12052685,,,CHEBI:58678,,,,,,,,,46878438,
MSI04022,812.2877,812.2910,4,[M+K]+,Cyanidin 3-glucoside 5-caffeoylglucoside,C36H37O19,773.1929,,,,,,,C16372,,,,,,
MSI04023,812.3904,812.3935,4,[M]+,Unk-Val-N(Me)Val-OIle-Pro-N(Me)Val-OEt,C39H65BrN4O9,812.39349,,,CHEBI:67341,,,,,,,,,54587194,
MSI04024,816.5765,816.5755,1,[M+H]+,"1-(9Z,12Z-octadecadienoyl)-2-eicosanoyl-glycero-3-phosphoserine",C44H82NO10P,815.56763481,,,CHEBI:156129,,,HMDB0112429,,,,LMGP03010356,,52925466,
MSI04026,820.1069,820.1180,13,[M+H-H2O]+,3-Oxopropionyl-CoA,C24H38N7O18P3S,837.1207,,,,,,,C05989,,,,,,
MSI04027,820.2189,820.2148,5,[M+NH4]+,"6-Hydroxykaempferol 3,6-diglucoside 7-glucuronide",C33H38O23,802.18038746,307950-53-4,,CHEBI:169422,,,HMDB0037094,,,,,,131752149,
MSI04028,820.7314,820.7271,5,[M+NH4]+,N-tricosanoylsphinganine-1-phosphocholine,C46H95N2O6P,802.69277575,,,CHEBI:85017,,,HMDB0012093,,,,,,53481364,
MSI04029,823.3098,823.3058,5,[M]+,"N-[3-[4-[[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]methyl]-6-[4-(hydroxymethyl)phenyl]-5-methyl-1,3-dioxan-2-yl]phenyl]-2-[(4-methylphenyl)sulfonylamino]-3-phenylpropanamide",C46H50ClN3O7S,823.3057998,,,,,,,,,,,,4147456,
MSI04030,823.3269,823.3300,4,[M+K]+,"5,10-(Methanylylidene)tetrahydromethanopterin(2-)",C31H41N6O16P-2,784.23166624,,,CHEBI:58337,,,,,,,,,135926581,
MSI04033,824.2184,824.2190,1,[M+K]+,dTDP-acarviose-7-phosphate,C23H38N3O21P3,785.1211,,,,,,,C21208,,,,,,
MSI04035,827.0905,827.0942,4,[M+Na]+,CID 22316358,C24H39O24P3,804.1044131,,,,,,,,,,,,22316358,
MSI04036,829.4268,829.4296,3,[M]+,Tubulysin B,C42H63N5O10S,829.4295644,205304-87-6,,CHEBI:80035,,,,,,,,,12134545,
MSI04037,829.5639,829.5622,2,[M]+,"PC(20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))",C48H80NO8P,829.56215551,17688-29-8,,CHEBI:60657,,,HMDB0008443,,,,LMGP01011052,,24779076,
MSI04038,830.4856,830.4843,2,[M+H-2H2O]+,Chivosazole A,C49H71NO12,865.4976267,,,CHEBI:80057,,,,,,,,,21594703,
MSI04039,830.5030,830.5074,5,[M]+,1-Stearoyl-2-palmitoyl-sn-glycero-3-phospho-(1'-sn-glycerol-3'-phosphate),C40H80O13P2,830.5074166,,,,,,HMDB0013502,,,,,,53481821,
MSI04040,830.7133,830.7115,2,[M+NH4]+,"N-(tetracosanoyl)-4E,14Z-sphingadienine-1-phosphocholine",C47H93N2O6P,812.67712569,2292199-45-0,,CHEBI:138577,,,HMDB0240635,,,,LMSP03010081,,52931217,
MSI04041,831.2964,831.3012,6,[M]+,"3-[[4-[(E)-[4-(4-ethoxyanilino)phenyl]-[4-[ethyl-[(3-sulfophenyl)methyl]azaniumylidene]-2-methylcyclohexa-2,5-dien-1-ylidene]methyl]-N-ethyl-3-methylanilino]methyl]benzenesulfonate",C47H49N3O7S2,831.30119326,78642-64-5,,,,,,,,,,,135702915,
MSI04042,833.0904,833.0894,1,[M]+,3-oxopropanoyl-CoA(4-),C24H34N7O18P3S-4,833.08938943,,,CHEBI:84996,,,,,,,,,90658161,
MSI04043,833.2805,833.2750,7,[M]+,UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine,C31H53N3O19P2,833.2749,,,,,,,C04738,,,,,,
MSI04044,833.5109,833.5156,6,[M+Na]+,1-Tetradecanoyl-2-octadecanoyl-glycero-3-phospho-(1'-myo-inositol),C41H79O13P,810.52582957,,,CHEBI:179115,,,,,,,LMGP06010900,,52928353,
MSI04045,834.2739,834.2738,0,[M+Na]+,CID 14073547,C44H45NO14,811.28400511,,,,,,,,,,,,14073547,
MSI04046,834.3266,834.3310,6,[M+Na]+,Aclacinomycin A,C42H53NO15,811.3415,,,,,,,C18638,,,,,,
MSI04047,834.7476,834.7428,6,[M+NH4]+,N-(tetracosanoyl)-sphinganine-1-phosphocholine,C47H97N2O6P,816.70842582,,,CHEBI:84495,,,HMDB0012094,,,,LMSP03010024,,44260134,
MSI04048,836.0312,836.0313,0,[M-H2O+NH4]+,[Heparan sulfate]-glucosamine 3-sulfate,C18H32N2O27S4,836.0075284,,,CHEBI:15981,,,,,,,,,70678530,
MSI04049,836.0392,836.0480,11,[M]+,"P1,P4-Bis(5'-adenosyl)tetraphosphate",C20H28N10O19P4,836.0483,,,,,,,C01260,,,,,,
MSI04050,838.1790,838.1810,2,[M+Na]+,"2-[4-((2-Amino-4-oxo-3,4-dihydro-pyrido[3,2-D]pyrimidin-6-ylmethyl)-{3-[5-carbamoyl-3-(3,4-dihydroxy-5-phosphonooxymethyl-tetrahydro-furan-2-YL)-3H-imidazol-4-YL]-acryloyl}-amino)-benzoylamino]-pentanedioic acid",C32H34N9O15P,815.19119841,,,,,DB04057,,,,,,,135451908,
MSI04051,838.7867,838.7864,0,[M+NH4]+,"1,2-Dihexadecanoyl-3-heptadecanoyl-sn-glycerol",C52H100O6,820.75199091,,,CHEBI:190202,,,HMDB0106356,,,,LMGL03010019,,9543988,
MSI04052,839.2210,839.2222,1,[M+Na]+,Syringetin 3-rutinoside-7-glucoside,C35H44O22,816.23242303,,,CHEBI:186029,,,,,,,LMPK12112490,,44259494,
MSI04053,840.0982,840.0988,1,[M+H-H2O]+,(2R)-2-[(2S)-2-[(2S)-2-amino-3-[[(4R)-4-[[4-[(2-amino-4-oxo-3H-pteridin-6-yl)methylamino]benzoyl]amino]-4-carboxybutanoyl]amino]propanoyl]azanidyl-3-carboxypropanoyl]azanidyl-3-hydroxy-3-oxopropane-1-thiolate;oxo(99Tc)technetium-99(3+),C29H32N11O12STc,857.101511,479410-20-3,,,,,,,,,,,136226470,
MSI04054,842.6656,842.6639,2,[M+H]+,"1,2-Dieicosenoyl-sn-glycero-3-phosphocholine",C48H92NO8P,841.65605589,,,CHEBI:86198,,,HMDB0008308,,,,LMGP01011038,,24779063,
MSI04055,843.2247,843.2220,3,[M-H2O+NH4]+,Malonylshisonin,C39H39O21,843.1984,,,,,,,C16299,,,,,,
MSI04056,843.3582,843.3430,18,[M+NH4]+,4''-O-Carbamoyl ansamitocinoside P-3,C38H52ClN3O15,825.3087,,,,,,,C20140,,,,,,
MSI04057,843.4382,843.4290,11,[M+H-2H2O]+,"Hydrogenobyrinate a,c diamide",C45H62N6O12,878.4426,,,,,,,C06503,,,,,,
MSI04060,846.5140,846.5133,1,[M+NH4]+,"PI(14:1(9Z)/20:4(5Z,8Z,11Z,14Z))",C43H73O13P,828.47887938,,,CHEBI:186481,,,,,,,LMGP06010099,,52927552,
MSI04061,846.6088,846.6129,5,[M+H-H2O]+,C22 Sulfatide,C46H89NO11S,863.61563383,265096-83-1,,CHEBI:176327,,,HMDB0012316,,,,LMSP06020009,,24779582,
MSI04062,846.7880,846.7915,4,[M+NH4]+,1-g-Linolenoyl-2-pentadecanoyl-3-Stearyl-glycerol,C54H100O5,828.75707629,,,CHEBI:184754,,,HMDB0052872,,,,,,131763523,
MSI04063,846.9972,846.9974,0,[M+H-2H2O]+,CID 19899320,C21H9F31O2,882.0107525,,,,,,,,,,,,19899320,
MSI04064,849.2327,849.2330,0,[M+Na]+,Benanomicin B,C39H42N2O18,826.24326249,116249-66-2,,CHEBI:8351,,,,,,,,,5464366,
MSI04065,851.1667,851.1730,7,[M]+,3-Methylbutanoyl-CoA,C26H44N7O17P3S,851.1727,,,,,,,C02939,,,,,,
MSI04066,851.2446,851.2464,2,[M+H]+,AV-412 Tosylate,C41H44ClFN6O7S2,850.238546,451493-31-5,,,,DB06021,,,,,,,11700696,
MSI04067,851.2910,851.2915,1,[M+K]+,(4S)-4-(2-propylisonicotinoyl)nicotinamide adenine dinucleotide,C30H38N8O15P2,812.19318653,,,CHEBI:44608,,,,,,,,,49867455,
MSI04068,851.5820,851.5792,3,[M]+,N-(2-hydroxy-eicosanoyl)-1-beta-(3'-sulfo)-glucosyl-sphing-4-enine,C44H85NO12S,851.57924832,,,CHEBI:183170,,,,,,,LMSP06020005,,24779581,
MSI04069,853.1806,853.1760,6,[M-H2O+NH4]+,(S)-3-Hydroxyisobutyryl-CoA,C25H42N7O18P3S,853.152,,,,,,,C06000,,,,,,
MSI04070,855.2783,855.2940,18,[M+H]+,Hydroxymethylbilane,C40H46N4O17,854.2858,,,,,,,C01024,,,,,,
MSI04071,856.5825,856.5832,1,[M+Na]+,1-Stearoyl-2-docosahexanoyl-sn-glycero-3-phosphocholine,C48H84NO8P,833.59345564,99264-99-0,,CHEBI:176694,,,HMDB0008727,,,,LMGP01012107,,52923691,
MSI04073,857.1293,857.1258,4,[M]+,"trans,trans-2,4-hexadienoyl-CoA(4-)",C27H38N7O17P3S-4,857.12577494,,,CHEBI:84788,,,,,,,,,44123412,
MSI04075,858.1984,858.2070,10,[M+H-H2O]+,Ternatin C5,C36H43O25,875.2093,,,,,,,C16303,,,,,,
MSI04076,858.2967,858.3007,5,[M]+,"1-[4-chloro-3-(trifluoromethyl)phenyl]-3-[(1S,14S)-9,20,21,25-tetramethoxy-15,30-dimethyl-7,23-dioxa-15,30-diazaheptacyclo[22.6.2.23,6.18,12.114,18.027,31.022,33]hexatriaconta-3(36),4,6(35),8,10,12(34),18,20,22(33),24,26,31-dodecaen-11-yl]urea",C46H46ClF3N4O7,858.300712,,,,,,,,,,,,145955137,
MSI04077,860.1319,860.1470,17,[M+Na]+,Butanoyl-CoA,C25H42N7O17P3S,837.1571,,,,,,,C00136,,,,,,
MSI04078,860.4563,860.4561,0,[M+Na]+,Chivosazole D,C47H67NO12,837.46632657,,,CHEBI:80060,,,,,,,,,10748075,
MSI04079,861.1241,861.1207,4,[M]+,2-Furoyl-CoA,C26H38N7O18P3S,861.12068956,,,CHEBI:15474,,,,C00845,,,,,11966143,
MSI04080,862.1468,862.1440,3,[M+H-2H2O]+,(E)-Cinnamoyl-CoA,C30H42N7O17P3S,897.1571,,,,,,,C16256,,,,,,
MSI04081,863.1430,863.1460,3,[M+H-2H2O]+,Theasinensin F,C44H34O21,898.15925809,116329-55-6,,CHEBI:136612,,,HMDB0038830,,,,,,467316,
MSI04082,863.3087,863.2990,12,[M+H]+,Sirohydrochlorin,C42H46N4O16,862.2909,,,,,,,C05778,,,,,,
MSI04083,863.3370,863.3351,2,[M+H-H2O]+,"3-[(1Z,2S,3S,4Z,7S,11S,17R,18R)-8,13,17-tris(2-carboxyethyl)-2,7,12,18-tetrakis(carboxymethyl)-2,7,11,17-tetramethyl-10,18,21,24-tetrahydro-3H-corrin-3-yl]propanoic acid",C43H52N4O16,880.33783158,,,,,,,,,,,,42626476,
MSI04084,863.9071,863.9022,6,[M+H-2H2O]+,"4-Amino-5-hydroxy-3,6-bis[(4-{[2-(sulfonatooxy)ethyl]sulfonyl}phenyl)diazenyl]naphthalene-2,7-disulfonate",C26H21N5O19S6-4,898.9155005,,,CHEBI:53734,,,,,,,,,135883863,
MSI04085,864.0687,864.0661,3,[M+H-H2O]+,CID 16157902,C66H11NO4,881.06880783,,,,,,,,,,,,16157902,
MSI04087,865.4549,865.4562,1,[M+Na]+,Spirostan-3-yl pentopyranosyl-(1->4)-[pentopyranosyl-(1->6)]hexopyranoside,C43H70O16,842.46638614,131123-73-4,,,,,,,,,,,148362,
MSI04089,867.6241,867.6227,2,[M+NH4]+,"PS(O-20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C48H84NO9P,849.58837025,,,CHEBI:185095,,,,,,,LMGP03020093,,52926182,
MSI04090,868.3672,868.3676,1,[M+Na]+,"Dioxouranium;7,15,23-tritert-butyl-26,27-dihydroxy-3,11,19-trioxatetracyclo[19.3.1.15,9.113,17]heptacosa-1(24),5,7,9(27),13(26),14,16,21(25),22-nonaen-25-olate",C36H47O8U-,845.37788,,,,,,,,,,,,5257138,
MSI04091,871.3785,871.3650,15,[M+NH4]+,Paclitaxel,C47H51NO14,853.331,,,,,,,C07394,,,,,,
MSI04092,871.3886,871.3865,2,[M+NH4]+,"[4-Acetyloxy-15-[3-(furan-2-yl)-2-hydroxy-3-[(2-methylpropan-2-yl)oxycarbonylamino]propanoyl]oxy-1,12-dihydroxy-10,14,17,17-tetramethyl-11-oxo-9-propanoyloxy-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate",C44H55NO16,853.35208467,393101-41-2; 352425-37-7,,,,,,,,,,,23144079,Milataxel
MSI04093,871.4237,871.4140,11,[M+K]+,Premithramycin A3,C41H52O18,832.3154,,,,,,,C12387,,,,,,
MSI04095,872.2084,872.2097,1,[M-H2O+NH4]+,"2-[3,5-bis(beta-D-glucopyranosyloxy)-4-hydroxyphenyl]-5,7-dioxidochromenium-3-yl 6-O-(carboxylatoacetyl)-beta-D-glucopyranoside",C36H40O25-2,872.18586676,,,CHEBI:58912,,,,,,,,,46878479,
MSI04096,872.2360,872.2337,3,[M]+,Folate-FITC,C42H36N10O10S,872.23365856,583037-91-6,,,,DB12559,,,,,,,135564966,
MSI04099,875.2398,875.2446,5,[M+Na]+,5-tert-butyl-1H-pyrazole;iron;trifluoromethanesulfonic acid,C30H50F6FeN8O6S2,852.254828,,,,,,,,,,,,11115551,
MSI04100,878.1553,878.1557,0,[M+K]+,Chromium;3-hydroxy-4-[(2-hydroxynaphthalen-1-yl)diazenyl]naphthalene-1-sulfonate;3-hydroxy-4-[(2-hydroxynaphthalen-1-yl)diazenyl]naphthalene-1-sulfonic acid,C40H27CrN4O10S2-,839.057365,12392-64-2; 19154-31-5,,,,,,,,,,,137178695,
MSI04101,878.2365,878.2346,2,[M+K]+,3-Hydroxypropanoyl-CoA,C24H40N7O18P3S,839.13633962,157786-88-4,,CHEBI:27762,,,HMDB0006807,C05668,,,LMFA07050226,,11966171,
MSI04102,878.2493,878.2350,17,[M+K]+,3-Hydroxypropionyl-CoA,C24H40N7O18P3S,839.1363,,,,,,,C05668,,,,,,
MSI04104,881.9002,881.9015,1,[M+NH4]+,CID 15799185,C34H28BCuF4FeP2Se2,863.86712,,,,,,,,,,,,15799185,
MSI04105,882.3714,882.3722,1,[M+Na]+,(2S)-2-[6-[[2-[2-[2-[bis(carboxymethyl)amino]ethyl-(carboxymethyl)amino]ethyl-(carboxymethyl)amino]acetyl]amino]hexanoylamino]-3-[[1-[3-(1H-imidazol-2-ylamino)propyl]indazole-5-carbonyl]amino]propanoic acid,C37H53N11O13,859.38243079,,,,,,,,,,,,11170427,
MSI04108,884.2964,884.3080,13,[M+H-2H2O]+,5-Methyl-H4SPT,C36H54N7O19P,919.3212,,,,,,,C18799,,,,,,
MSI04109,884.4720,884.4724,0,[M]+,"methyl (13S,15R)-13-[(1R,9R,10R,11R,12R,19R)-11-acetyloxy-12-ethyl-10-hydroxy-5-methoxy-10-[(4-methoxyphenyl)methoxymethyl]-8-methyl-8,16-diazapentacyclo[10.6.1.01,9.02,7.016,19]nonadeca-2,4,6,13-tetraen-4-yl]-17-ethyl-1,11-diazatetracyclo[13.3.1.04,12.05,10]nonadeca-4(12),5,7,9,16-pentaene-13-carboxylate",C53H64N4O8,884.47241501,,,,,,,,,,,,25136554,
MSI04110,886.5900,886.5884,2,[M]+,"2-Amino-3-[4-(4-hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl]propanoyl iodide",C15H10I5NO3,886.5884,,,,,,,,,,,,76113079,
MSI04111,887.4064,887.4041,3,[M+Na]+,"(2S,3S,4S,5R,6R)-6-[(2R,3R,4S,5S,6S)-2-[[(3S,4aR,6aR,6bS,8aR,9R,11R,12aR,14aR,14bS)-9-acetyloxy-11-formyl-4,4,6a,6b,8a,11,14b-heptamethyl-14-oxo-2,3,4a,5,6,7,8,9,10,12,12a,14a-dodecahydro-1H-picen-3-yl]oxy]-6-carboxy-4,5-dihydroxyoxan-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",C44H64O17,864.41435057,,,,,,,,,,,,127043801,
MSI04113,891.2407,891.2433,3,[M+NH4]+,Cyanidin 3-(6-feruloylglucoside) 5-(6-malonylglucoside),C40H41O22+,873.20894793,123453-03-2,,,,,HMDB0041153,,,,,,131753043,
MSI04114,894.4276,894.4276,0,[M+H]+,Cabazitaxel acetone,C48H63NO15,893.4197703,1426815-65-7,,,,,,,,,,,72734356,
MSI04116,900.5748,900.5728,2,[M]+,"PI(22:2(13Z,16Z)/17:2(9Z,12Z))",C48H85O13P,900.57277976,,,CHEBI:186339,,,,,,,LMGP06010735,,52928188,
MSI04117,900.6768,900.6776,1,[M+H-H2O]+,LacCer(d18:1/20:0),C50H95NO13,917.68034208,125650-87-5,,CHEBI:84761,,,HMDB0011593,,,,,,53481000,
MSI04118,903.2340,903.2307,4,[M]+,"(2S,4E)-4-[2-[(2S)-2-carboxy-5-[(2S,3R,4S,5S,6R)-3-[(2R,3R,4S,5S,6S)-6-carboxy-4,5-dihydroxy-3-[(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoyl]oxyoxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-hydroxy-2,3-dihydroindol-1-ium-1-ylidene]ethylidene]-2,3-dihydro-1H-pyridine-2,6-dicarboxylic acid",C40H43N2O22+,903.230746,,,,,,,,,,,,11953906,
MSI04119,903.2760,903.2800,4,[M-H2O+NH4]+,Cyanidin-3-(p-coumaroyl)-rutinoside-5-glucoside,C42H47O22,903.2559,,,,,,,C16292,,,,,,
MSI04120,906.3441,906.3396,5,[M+NH4]+,Rhamnocitrin 3-glucoside-4'-(3''-dihydrophaseoylglucoside),C43H52O20,888.30519404,,,,,,,,,,LMPK12112572,,44259554,
MSI04121,906.6841,906.6826,2,[M+NH4]+,"2-[[(2R)-2-[(13Z,16Z)-docosa-13,16-dienoyl]oxy-3-[(7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoyl]oxypropoxy]-hydroxyphosphoryl]oxyethyl-trimethylazanium",C52H91NO8P+,888.64823086,,,,,,,,,,,,53479386,
MSI04122,907.4914,907.4903,1,[M+H]+,(-)-Trigoneoside XIb,C44H74O19,906.48243013,290347-58-9,,,,,HMDB0036485,,,,,,131752001,
MSI04123,909.4489,909.4460,3,[M+Na]+,Furcogenin 3-[2''-glucosyl-6''-arabinosylglucoside],C44H70O18,886.45621538,244762-25-2,,CHEBI:183042,,,HMDB0034343,,,,,,131751549,
MSI04124,909.8254,909.8251,0,[M+Na]+,1-Pentadecanoyl-2-Stearyl-3-docosadienoyl-glycerol,C58H110O5,886.83532661,,,CHEBI:185243,,,HMDB0043820,,,,,,131754938,
MSI04126,914.4237,914.4239,0,[M+H-H2O]+,CID 5778154,C50H62FN3O13,931.4266672,,,,,,,,,,,,5778154,
MSI04127,917.2707,917.2660,6,[M+H-2H2O]+,Cobalt-precorrin 6,C44H53CoN4O16,952.2789,,,,,,,C11542,,,,,,
MSI04129,917.7623,917.7598,3,[M+H]+,"1-(9Z,12Z,15Z-octadecatrienoyl)-2-nonadecanoyl-3-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycerol",C60H100O6,916.75199091,,,CHEBI:186638,,,,,,,LMGL03011099,,9545060,
MSI04130,919.3860,919.3831,3,[M+K]+,Pitavastatin hemicalcium,C50H46CaF2N2O8,880.2848136,147526-32-7,,CHEBI:71258,,,,,,,,,5282451,
MSI04131,919.6921,919.6960,4,[M]+,N-(eicosanoyl)-1-beta-lactosyl-sphinganine,C50H97NO13,919.69599215,,,,,,,,,,LMSP0501AB16,,52931266,
MSI04133,929.1398,929.1470,8,[M]+,"2,4-Dihydroxycinnamoyl-CoA",C30H42N7O19P3S,929.1469,,,,,,,C22070,,,,,,
MSI04134,930.2425,930.2434,1,[M+Na]+,CID 12058948,C45H54LaN3O3Si3,907.25366,,,,,,,,,,,,12058948,
MSI04135,931.2337,931.2308,3,[M+Na]+,beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->3)-6-O-phosphono-beta-D-galactosyl-(1->4)-alpha-D-mannose,C30H53O29P,908.24101265,,,CHEBI:59619,,,,,,,,,46224579,
MSI04136,932.1720,932.1680,4,[M+Na]+,6-Carboxyhexanoyl-CoA,C28H46N7O19P3S,909.1782,,,,,,,C01063,,,,,,
MSI04137,932.3584,932.3595,1,[M+K]+,"[3,4,5-Triacetyloxy-6-[2-[[4-[4-[4-(hydroxymethyl)phenyl]-6-[[1-(4-hydroxyphenyl)tetrazol-5-yl]sulfanylmethyl]-1,3-dioxan-2-yl]phenyl]methylamino]-2-sulfanylideneethyl]oxan-2-yl]methyl acetate",C42H47N5O13S2,893.26117892,,,,,,,,,,,,4647555,
MSI04138,932.8395,932.8364,3,[M]+,Wright stain,C36H27Br4N3O5S+2,932.83639,68988-92-1,,,,,,,,,,,25113599,
MSI04139,932.9907,932.9930,2,[M+NH4]+,CID 20557422,C26H36I3N3O9,914.9586,,,,,,,,,,,,20557422,
MSI04140,933.2111,933.2146,4,[M]+,(3S)-3-Isopropenyl-6-oxoheptanoyl-CoA,C31H50N7O18P3S,933.21458994,,,CHEBI:212,,,HMDB0062370,,,,LMFA07050118,,11966312,
MSI04142,935.1840,935.1810,3,[M-H2O+NH4]+,"3-Oxo-5,6-dehydrosuberyl-CoA",C29H44N7O20P3S,935.1575,,,,,,,C19945,,,,,,
MSI04143,936.2224,936.2400,19,[M+K]+,2-Hydroxyglutaryl-CoA,C26H42N7O20P3S,897.1418,,,,,,,C03058,,,,,,
MSI04144,936.3800,936.3920,13,[M-H2O+NH4]+,"Cob(I)yrinate a,c diamide",C45H61CoN6O12,936.3679,,,,,,,C06505,,,,,,
MSI04145,938.1365,938.1389,3,[M]+,"3'-(2'',3'',4'',6''-Tetrakisgalloylglucosyl)-phloroacetophenone",C42H34O25,938.13891657,152041-23-1,,CHEBI:169211,,,HMDB0040627,,,,,,131752874,
MSI04147,942.3015,942.3000,1,[M+H-2H2O]+,Tetradecanoyl-CoA,C35H62N7O17P3S,977.3136,,,,,,,C02593,,,,,,
MSI04148,946.8338,946.8353,2,[M]+,1-Docosahexaenoyl-2-eicosenoyl-3-Stearyl-glycerol,C63H110O5,946.83532661,,,,,,HMDB0055916,,,,,,131766407,
MSI04149,947.5374,947.5355,2,[M]+,CID 20826810,C49H77N3O15,947.53546876,,,,,,,,,,,,20826810,
